Timestamp,Open,High,Low,Close,Volume,Turnover,SuperTrendIndicator_trend,SuperTrendIndicator_value,RsiIndicator,AtrIndicator,BollingerIndicator_middle,BollingerIndicator_upper,BollingerIndicator_lower,BollingerIndicator_pb,KeltnerIndicator_middle,KeltnerIndicator_upper,KeltnerIndicator_lower,MacdIndicator_MACD,MacdIndicator_signal,MacdIndicator_histogram,WilliamsRIndicator,KsiIndicator_kst,KsiIndicator_signal,MfiIndicator,ObvIndicator,Ema4Indicator_ema8,Ema4Indicator_ema13,Ema4Indicator_ema21,Ema4Indicator_ema55,Ema4Indicator_ema100,Ema4Indicator_ema200,Ema10And20_ema10,Ema10And20_ema20,Sma3Indicator_sma1,Sma3Indicator_sma2,Sma3Indicator_sma3,AdlIndicator,AdxIndicator_adx,AdxIndicator_pdi,AdxIndicator_mdi,AwesomeOscillatorIndicator,CciIndicator,StochasticIndicator_k,StochasticIndicator_d,IchimokuCloudIndicator_conversion,IchimokuCloudIndicator_base,IchimokuCloudIndicator_spanA,IchimokuCloudIndicator_spanB,WildersSmoothingWeighteMovingAvg,WeighteMovingAvg,VolumeWeightedAvgPrice,TrixIndicator,ForceIndexIndiactor,RocIndicator,PsarIndicator,EMAIndicator,SmaIndicator,ZScore_o,ZScore_h,ZScore_l,ZScore_c,ZScore_v,ZEMAIndicator
1747054800000,103898.7,104635.5,103677,104322.9,1242.107931,129344233.27011528,long,103147.6568562,52.41,613.6595988,104226.49,104768.2271,103684.7529,0.5889822757,104208.4068,105435.72599759999,102981.0876024,-4.346153846,-11.0292735,6.683119658,-68.75056382,1.919287772,2.245555829,50.5,9999.164229,104202.6148,104208.9785,104188.4394,103775.8173,102645.8568,99476.015,104207.7583,104192.6242,104017.056,103287.639,99476.015,6382,28.09470147,28.43316749,14.29206163,37.47,-5.0602630742612,31.24943618,17.27468075,104738.6,104711.05,104724.82500000001,104428.05,102738.5294,104231.1064,100067.43422742884,0.01336034247,526902.1843,0.32610849,105759.3068,99476.015,104017.056,-0.17823348812768272,0.7473415986860459,-0.07405099685185058,0.7876996525897926,2.373651397794788,104205.7505
1747058400000,104322.9,104389.4,102564.4,102806.8,1858.153122,192023830.68000402,short,105219.3456306,36.56,671.342475,104140.28,104945.4565,103335.1035,-0.3280668897,104178.9109,105521.59585,102836.22595000001,-26.47884615,-17.33276353,-9.146082621,-92.61583453,0.5048457776,2.019870724,41.1,8141.011107,103892.4337,104008.6673,104062.8358,103741.2095,102649.0438,99509.15714,103953.0386,104060.6409,103999.22,103317.831,99510.4875,5018,26.1818139,23.30861512,22.70388413,-149.86,-247.1097577098444,7.384165474,16.91635767,104205.75,104205.75,104205.75,104205.75,102739.8948,104015.8218,100127.2455204164,0.01094631247,-2817145.948,-1.05302264,105716.722664,99509.15714,103999.22,0.7876996525897926,0.24151315991447264,-2.8797398826400427,-2.5225649111260298,3.6294978892497984,103925.9604
1747062000000,102806.8,103205.9,102388.6,102527.2,1339.956089,137668965.17569092,short,105141.2844093,34.49,678.2928334,104045.6,105102.5385,102988.6615,-0.2183010175,104192.6242,105549.20986680001,102836.0385332,-102.3410256,-29.71830484,-72.6227208,-95.99248229,-1.183105092,1.620861315,39.29,6801.055018,103589.0484,103797.0291,103923.2326,103697.852,102646.6311,99539.18742,103693.7952,103914.5989,103977.252,103349.025,99543.692,4132,24.50038654,21.44459003,22.60839538,-425.68,-300.41607158245716,4.00751771,14.21370645,104117.85,104117.85,104117.85,104117.85,102735.6409,103771.5487,100161.70517211291,0.007182366658,-374651.7225,-1.520977191,105590.62975744,99539.18742,103977.252,-2.5225649111260298,-2.0315202561240677,-3.0036698733118494,-2.8579479607249536,2.115999819672208,103646.2083
1747065600000,102527.2,103076.5,102421.5,102851.4,696.495867,71593103.28275941,short,105055.1309684,38.82,677.1836508,103974.79,105146.297,102803.283,0.02053636897,104060.6409,105415.0082016,102706.2735984,-152.6519231,-45.49102564,-107.1608974,-86.61847622,-2.598661921,1.075175355,43.71,7497.550885,103425.1266,103661.9392,103825.7932,103667.6216,102650.6859,99572.14476,103540.6324,103813.3419,103963.992,103384.624,99579.682,4350,22.93906113,20.06003133,21.14869619,-672.97,-229.7599485273419,13.38152378,8.257735655,103567.95000000001,104117.85,103842.90000000001,104117.85,102737.9561,103597.4538,100179.77917962852,0.002923242884,225803.9601,-1.169708087,105398.50797199359,99572.14476,103963.992,-2.8579479607249536,-2.1619417505910246,-2.6964414997280888,-2.0842320000129235,0.46674621702053776,103487.2467
1747069200000,102851.4,103098.3,102540,102571.2,775.114892,79679708.83827893,short,105055.1309684,36.57,671.5225246,103885.47,105191.311,102579.629,-0.003227422022,103914.5989,105257.64394919999,102571.5538508,-207.3576923,-67.37058405,-139.9871083,-94.72025445,-4.313557067,0.3115735098,40.15,6722.435992999999,103235.3651,103506.1193,103711.7393,103628.4637,102649.1119,99601.9861,103364.372,103695.0426,103952.616,103417.35,99615.1,3662,21.44831701,19.15614204,19.96542782,-875.31,-187.57154072508052,5.279745554,7.556262349,103533.8,104117.85,103825.82500000001,104117.85,102734.6209,103395.8577,100199.24746618448,-0.001876560438,-217187.1927,-1.330108827,105217.91349367397,99601.9861,103952.616,-2.0842320000129235,-2.0219636239214918,-2.2764660533061476,-2.452044517110052,0.6418982029389717,103304.0373
1747072800000,102571.2,102667.9,100731.8,101622.1,1719.189556,174732683.7048635,short,104299.3870845,30.19,731.7404996,103776.99,105414.3535,102139.6265,-0.1580365325,103813.3419,105276.8228992,102349.8609008,-346.0192308,-101.009188,-245.0100427,-82.5953512,-6.748921213,-0.7170507449,34.56,5003.246436999999,102876.8617,103236.9737,103521.7721,103556.8078,102628.775,99622.08674,103047.5953,103497.6195,103916.468,103439.812,99646.1995,3524,22.39209305,15.84525898,32.65656387,-1307.61,-241.03443782019798,17.4046488,12.02197271,102692.95000000001,103289.45000000001,102991.20000000001,103289.45000000001,102712.3705,103065.9731,100223.73968350606,-0.007977449017,-1631682.808,-2.641893012,105048.15468405353,99622.08674,103916.468,-2.452044517110052,-2.606728036310319,-4.634530000432965,-3.6209371015135075,2.766688082382263,102967.6499
1747076400000,101622.1,102111,101478.2,101856.9,717.894962,73095843.54815725,short,104299.3870845,33.29,727.0290472,103664.135,105492.973,101835.297,0.005906209298,103695.0426,105149.1006944,102240.9845056,-479.8858974,-153.3461538,-326.5397436,-78.00520009,-8.893445025,-1.961648018,38.22,5721.141398999999,102650.2036,103039.8203,103370.4201,103496.0968,102613.4904,99644.32369,102831.1052,103341.3605,103890.152,103450.765,99678.3725,3665,23.26845652,14.93658029,30.78380663,-1574.99,-173.45485708084126,21.99479991,14.89306476,102692.95000000001,103289.45000000001,102991.20000000001,103289.45000000001,102695.2611,102807.5654,100234.70207862588,-0.01455030991,168561.7371,-2.501385564,104702.84630932925,99644.32369,103890.152,-3.6209371015135075,-3.1677788469343366,-3.059135787329876,-2.9281355446255297,0.38162242059338974,102745.4999
1747080000000,101856.9,102884.8,101764.9,102679.9,506.215644,51803310.97611088,short,104299.3870845,42.87,745.7371879,103568.655,105393.6663,101743.6437,0.2565069871,103497.6195,104989.0938758,102006.1451242,-569.8730769,-214.8855413,-354.9875356,-61.91621215,-10.15253034,-3.308541295,38.59,6227.357042999999,102656.8028,102988.4031,103307.6455,103466.9469,102614.8054,99674.52842,102803.6134,103278.3643,103878.908,103464.758,99714.434,3986,22.71867363,20.27275731,27.75073324,-1607.95,-99.01236264936958,38.08378785,25.82774552,102683.65,103289.45000000001,102986.55,103289.45000000001,102694.9539,102709.2756,100245.37618899766,-0.0203200482,416615.475,-1.84889035,104385.16260458292,99674.52842,103878.908,-2.9281355446255297,-1.8941664333506938,-2.44037684895855,-1.6482285546323623,-0.12895188582694153,102732.3799
1747083600000,102679.9,102747,102359.2,102505.4,271.509833,27838631.91065674,short,104299.3870845,41.51,728.6925599,103494.735,105365.682,101623.788,0.2356058189,103341.3605,104798.7456198,101883.97538019999,-658.2621795,-283.0240028,-375.2381766,-55.83115428,-11.2421321,-4.745357691,30.18,5955.847209999999,102623.1577,102919.4027,103234.7141,103432.606,102612.639,99702.6963,102749.3927,103204.7486,103865.348,103479.619,99750.078,3919,22.20816094,19.55427583,26.76722678,-1587.8,-79.8045616277808,44.16884572,34.7491445,102683.65,103289.45000000001,102986.55,103289.45000000001,102691.1628,102608.9372,100251.30191489031,-0.0255095258,-47378.46586,-1.861845992,104092.89359621628,99702.6963,103865.348,-1.6482285546323623,-2.0054399252744184,-1.5482289261734345,-1.8179230236948645,-0.6871995251423243,102686.9839
1747087200000,102505.4,102947,102356.5,102862.4,301.384877,30959686.1454719,short,104299.3870845,45.33,722.1119618,103442.81,105323.4039,101562.2161,0.3456843873,103278.3643,104722.5882236,101834.1403764,-743.749359,-365.1799145,-378.5694444,-46.02249696,-12.20727304,-6.314975558,33.67,6257.232086999999,102676.3227,102911.2595,103200.8674,103412.2415,102617.5847,99734.13614,102769.9395,103172.144,103858.706,103494.587,99786.3635,4134,21.39762036,20.34053784,25.29705046,-1560.97,-58.08084386892243,53.97750304,45.41004554,102560.6,103289.45000000001,102925.02500000001,103289.45000000001,102694.5876,102588.4538,100258.37266295329,-0.02969415774,107594.4011,-1.601732596,103824.00610851898,99734.13614,103858.706,-1.8179230236948645,-1.6696815667118898,-1.5050259529953007,-1.3023541721814973,-0.615477482743062,102722.0671
