Timestamp,Open,High,Low,Close,Volume,Turnover,SuperTrendIndicator_trend,SuperTrendIndicator_value,RsiIndicator,AtrIndicator,BollingerIndicator_middle,BollingerIndicator_upper,BollingerIndicator_lower,BollingerIndicator_pb,KeltnerIndicator_middle,KeltnerIndicator_upper,KeltnerIndicator_lower,MacdIndicator_MACD,MacdIndicator_signal,MacdIndicator_histogram,WilliamsRIndicator,KsiIndicator_kst,KsiIndicator_signal,MfiIndicator,ObvIndicator,Ema4Indicator_ema8,Ema4Indicator_ema13,Ema4Indicator_ema21,Ema4Indicator_ema55,Ema4Indicator_ema100,Ema4Indicator_ema200,Ema10And20_ema10,Ema10And20_ema20,Sma3Indicator_sma1,Sma3Indicator_sma2,Sma3Indicator_sma3,AdlIndicator,AdxIndicator_adx,AdxIndicator_pdi,AdxIndicator_mdi,AwesomeOscillatorIndicator,CciIndicator,StochasticIndicator_k,StochasticIndicator_d,IchimokuCloudIndicator_conversion,IchimokuCloudIndicator_base,IchimokuCloudIndicator_spanA,IchimokuCloudIndicator_spanB,WildersSmoothingWeighteMovingAvg,WeighteMovingAvg,VolumeWeightedAvgPrice,TrixIndicator,ForceIndexIndiactor,RocIndicator,PsarIndicator,EMAIndicator,SmaIndicator,ZScore_o,ZScore_h,ZScore_l,ZScore_c,ZScore_v,ZEMAIndicator
1761247800000,110534.1,110536,110354.2,110368.9,14.057037,1552552.0852598,short,110997.82294730001,48.5,242.0992412,110575.78,111147.8887,110003.6713,0.3191951984,110455.582,110939.78048239999,109971.3835176,-210.6423077,-56.10833333,-154.5339744,-53.55582736,0.1975872085,2.739568935,30.83,444.4792520000002,110415.0776,110442.6888,110452.5812,110241.3585,109971.6872,109506.4405,110426.3847,110454.0923,110300.702,109795.186,109506.4405,101,19.351014,18.66989766,28.0888625,-95.62,-50.488402884027735,46.44417264,48.89778132,110366.70000000001,110670.3,110518.5,110415.6,109985.8564,110392.9218,109621.09187186458,0.01174199741,-2322.222512,-0.1619207601,110689.25032998908,109506.4405,110300.702,0.6805146504876831,0.3640021522633846,0.5547759236757813,0.2784256750018579,-0.8491799820126728,110420.4902
1761248100000,110368.9,110422.2,110303.6,110422.2,12.773159,1409696.4552829,short,110991.9605908,49.78,236.218325,110534.6,111019.8393,110049.3607,0.3841808567,110463.0599,110935.49655,109990.62324999999,-219.1211538,-100.4293447,-118.6918091,-39.47268589,-0.09891112445,2.109411168,33.89,457.2524110000002,110416.6604,110439.7618,110449.8193,110247.8171,109980.6082,109515.5525,110425.6238,110451.0549,110313.328,109805.394,109516.459,114,19.60542372,17.96274801,28.64093296,-106.7,-58.54752985481294,60.52731411,53.66276028,110366.70000000001,110713.3,110540,110415.6,109994.5833,110395.5987,109622.59018359907,0.01041186718,680.8093747,-0.005705048968,110642.35830358995,109515.5525,110313.328,0.2784256750018579,0.0804801798954299,0.4110331579157417,0.37356515722851474,-0.8925352706823845,110420.8322
1761248400000,110422.2,110455,110341,110341.1,10.229756,1129449.6504544,short,110991.9605908,47.83,230.3984047,110493.265,110888.1357,110098.3943,0.3073230047,110454.0923,110914.8891094,109993.29549060001,-234.7628205,-137.6176638,-97.1451567,-54.85584219,-0.4841944387,1.482947183,38.49,447.0226550000002,110399.8692,110425.6673,110439.9357,110251.1486,109987.7467,109523.7669,110410.2558,110440.583,110318.798,109813.273,109525.7415,104,19.63416777,18.37056433,27.56034797,-88.46,-56.882772151472004,45.14415781,50.70521485,110366.70000000001,110713.3,110540,110460.05,110001.5137,110385.8795,109623.78018950619,0.009115122133,-829.6332116,-0.177948177,110599.21763930275,109523.7669,110318.798,0.37356515722851474,0.135473149983349,0.47183783367382137,0.1638745984371566,-0.976940318638079,110404.8857
1761248700000,110341.1,110548.2,110335.3,110540,16.74153,1849056.3296608,short,110991.9605908,52.72,229.5651474,110473.455,110813.3839,110133.5261,0.5978807627,110451.0549,110910.1851948,109991.92460520001,-204.4833333,-163.522151,-40.96118234,-17.12822458,-0.680886153,0.9423412595,45.96,463.7641850000002,110431.0094,110442.0005,110449.0325,110261.4647,109998.6824,109533.8787,110433.8457,110450.0513,110331.866,109823.308,109535.819,119,19.08273687,20.16239628,25.61656339,-73.32,-4.407992584991128,82.87177542,62.84774911,110337.45,110713.3,110525.375,110469.9,110012.2834,110409.2821,109625.96479267864,0.00808194824,3329.890317,0.1732687623,110559.52822815852,109533.8787,110331.866,0.1638745984371566,0.33362867302448046,0.4351855741320172,0.6132925429134939,-0.6607281453833221,110431.9086
1761249000000,110540,110540,110272.5,110328.6,23.105678,2550966.1262515,short,110991.9605908,47.61,231.3715689,110450.36,110762.6279,110138.0921,0.3050391987,110440.583,110903.3261378,109977.8398622,-208.0198718,-183.8173789,-24.20249288,-57.22685888,-0.6411048196,0.5069640354,36.83,440.6585070000002,110408.2517,110425.8004,110438.0841,110263.8624,110005.2154,109541.7864,110414.7101,110438.4845,110344.068,109834.106,109544.964,106,18.86425168,18.4058776,25.43013598,-105.46,-48.357705583110246,42.77314112,56.92969145,110388,110713.3,110550.65,110469.9,110018.6097,110397.7103,109628.62904816555,0.007036648616,-4884.540329,-0.2124570948,110548.2,109541.7864,110344.068,0.6132925429134939,0.29183782498946825,0.2564646275633067,0.0781639576474765,-0.3550633257930317,110411.2469
1761249300000,110328.6,110328.6,110197.9,110198.1,29.488422,3250893.5261176,short,110864.0781536,44.73,226.5776847,110417.115,110685.0011,110149.2289,0.09121619225,110450.0513,110903.20666940001,109996.8959306,-202.2346154,-197.7531339,-4.481481481,-81.98027314,-0.8593588411,0.1304774642,36.86,411.1700850000002,110361.5513,110393.2718,110416.2673,110261.5138,110009.0349,109548.3169,110375.3265,110415.5908,110349.852,109842.711,109552.991,76,18.99922665,17.59912888,26.81726298,-154.28,-131.74380485061403,18.01972686,47.88821447,110380.45,110713.3,110546.875,110469.9,110022.1995,110369.0731,109631.37912947455,0.005868903822,-3848.239071,-0.3412151347,110548.2,109548.3169,110349.852,0.0781639576474765,-0.23897661247319593,0.04226757979566384,-0.272366933381088,-0.06415636212899206,110368.6175
1761249600000,110198.1,110203.8,109832.2,109988.2,76.084303,8369111.69397115,short,110670.2253383,40.48,233.4835092,110388.06,110705.1527,110070.9673,-0.130509627,110438.4845,110905.4515184,109971.5174816,-170.5134615,-200.7960826,30.28262108,-80.45357725,-1.125080425,-0.1852278011,23.85,335.0857820000002,110278.5844,110335.4044,110377.3521,110251.7526,110008.6223,109552.6938,110304.9398,110374.8869,110349.836,109850.397,109559.7065,64,20.42193154,15.51671801,35.28871771,-226.46,-257.50688762657734,19.54642275,26.77976358,110197.6,110577.85,110387.725,110482.5,110021.5195,110312.9808,109635.69013630679,0.004420978761,-15970.0952,-0.1141545255,110540,109552.6938,110349.836,-0.272366933381088,-0.5671194837071235,-0.9067396944732307,-0.8158510473544337,1.9777935391560153,110292.534
1761249900000,109988.2,110106.3,109931.5,109998.2,32.096653,3531065.7402493,short,110658.34280449999,40.77,230.6890564,110361.095,110712.6217,110009.5683,-0.01616989549,110415.5908,110876.9689128,109954.21268720001,-148.5371795,-198.317735,49.78055556,-79.20060143,-1.388483418,-0.4761716705,28.89,367.1824350000002,110216.2767,110287.2324,110342.8838,110242.6971,110008.4159,109557.1267,110249.1689,110339.0119,110351.526,109857.481,109566.1795,56,21.74301464,14.63922485,33.29308898,-301.9,-206.36884681361983,20.79939857,19.45518273,110197.6,110577.85,110387.725,110482.5,110021.0531,110260.0385,109637.4982096291,0.002822578416,320.96653,-0.2829291553,110469.22,109557.1267,110351.526,-0.8158510473544337,-0.8063744586768111,-0.6624422487977893,-0.7855607855477105,0.034580327109868324,110233.6672
1761250200000,109998.2,110032.8,109782.2,109897.3,47.427222,5211763.72104309,short,110558.1785239,38.73,231.6371966,110328.565,110722.7479,109934.3821,-0.0470366675,110374.8869,110838.1612932,109911.6125068,-138.4051282,-192.9688746,54.56374644,-85.25870902,-1.967211291,-0.783071478,27.01,319.75521300000025,110145.393,110231.5277,110302.3761,110230.3615,110006.2156,109560.5115,110185.1928,110296.9441,110348.93,109864.531,109572.4335,53,23.3968703,13.463698,35.40368304,-403.32,-208.5845615375282,14.74129098,18.36237077,110165.2,110504.04999999999,110334.625,110482.5,110018.5781,110195.5744,109639.37765186664,0.001055915291,-4785.4067,-0.4211590754,110405.518,109560.5115,110348.93,-0.7855607855477105,-0.9804398133729774,-1.0470395039476412,-1.0416518980340124,0.704847642369627,110166.3938
1761250500000,109897.3,109952.6,109850,109945.3,20.313041,2232638.8185403,short,110517.69067160001,40.26,225.4925682,110304.405,110729.1712,109879.6388,0.07729098973,110339.0119,110789.9970364,109888.02676359999,-124.0852564,-183.3514245,59.26616809,-79.11116803,-2.329720926,-1.063883493,32.72,340.06825400000025,110100.9279,110190.6381,110269.9147,110220.1807,110005.0094,109564.3403,110141.5759,110263.4542,110350.75,109871.398,109579.2415,70,24.9325934,13.00331474,34.19307485,-497.98,-165.55758956806395,20.88883197,18.80984051,110165.2,110462.95,110314.075,110482.5,110017.1125,110144.4538,109640.21025644749,-0.0007272199755,975.025968,-0.2590020212,110330.71983999999,109564.3403,110350.75,-1.0416518980340124,-1.1732758182803456,-0.8947043265881914,-0.9426766355364268,-0.4969838957831815,110122.175
